Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPosition2QB
1,Patrick Mahomes,KC,10,27,QB,QB1,1.5
2,Justin Jefferson,MIN,13,24,WR,WR1,1.9
3,Josh Allen,BUF,13,27,QB,QB2,2.7
4,Jalen Hurts,PHI,10,25,QB,QB3,3.3
5,Christian McCaffrey,SF,9,27,RB,RB1,5.1
6,Joe Burrow,CIN,7,26,QB,QB4,6.7
7,Travis Kelce,KC,10,33,TE,TE1,6.9
8,Tyreek Hill,MIA,10,29,WR,WR2,8.3
9,Ja'Marr Chase,CIN,7,23,WR,WR3,8.4
10,Lamar Jackson,BAL,13,26,QB,QB5,8.9
10,Austin Ekeler,LAC,5,28,RB,RB2,8.9
12,Justin Herbert,LAC,5,25,QB,QB6,11.5
13,Justin Fields,CHI,13,24,QB,QB7,13.3
14,Nick Chubb,CLE,5,27,RB,RB3,14.2
15,Cooper Kupp,LAR,10,30,WR,WR4,14.5
16,Bijan Robinson,ATL,11,21,RB,RB4,15.8
17,Stefon Diggs,BUF,13,29,WR,WR5,17
18,Garrett Wilson,NYJ,7,23,WR,WR6,18.1
19,Saquon Barkley,NYG,13,26,RB,RB5,18.4
20,Trevor Lawrence,JAX,9,23,QB,QB8,19.2
21,Derrick Henry,TEN,7,29,RB,RB6,20.2
22,CeeDee Lamb,DAL,7,24,WR,WR7,21.5
23,A.J. Brown,PHI,10,26,WR,WR8,23.2
24,Amon-Ra St. Brown,DET,9,23,WR,WR9,23.3
25,Tony Pollard,DAL,7,26,RB,RB7,23.8
26,Davante Adams,LV,13,30,WR,WR10,24.8
27,Josh Jacobs,LV,13,25,RB,RB8,26
28,Dak Prescott,DAL,7,30,QB,QB9,26.7
29,Aaron Rodgers,NYJ,7,39,QB,QB10,28.9
30,Chris Olave,NO,11,23,WR,WR11,30.1
31,Jonathan Taylor,IND,11,24,RB,RB9,31.2
32,Najee Harris,PIT,6,25,RB,RB10,31.8
33,Mark Andrews,BAL,13,28,TE,TE2,31.9
34,Tua Tagovailoa,MIA,10,25,QB,QB11,32.5
35,Jaylen Waddle,MIA,10,24,WR,WR12,33.7
36,Tee Higgins,CIN,7,24,WR,WR13,34
37,Travis Etienne Jr.,JAX,9,24,RB,RB11,35.4
38,Kirk Cousins,MIN,13,35,QB,QB12,36.4
38,Joe Mixon,CIN,7,27,RB,RB12,36.4
40,Rhamondre Stevenson,NE,11,25,RB,RB13,38.3
41,Aaron Jones,GB,6,28,RB,RB14,41.3
42,Deebo Samuel,SF,9,27,WR,WR14,41.6
43,Deshaun Watson,CLE,5,27,QB,QB13,42.6
44,Daniel Jones,NYG,13,26,QB,QB14,42.9
44,Amari Cooper,CLE,5,29,WR,WR15,42.9
46,Keenan Allen,LAC,5,31,WR,WR16,43.1
47,Kenneth Walker III,SEA,5,22,RB,RB15,43.9
48,Calvin Ridley,JAX,9,28,WR,WR17,44.5
49,DK Metcalf,SEA,5,25,WR,WR18,45.6
50,Jahmyr Gibbs,DET,9,21,RB,RB16,45.7
51,T.J. Hockenson,MIN,13,26,TE,TE3,49.3
52,Russell Wilson,DEN,9,34,QB,QB15,50
53,Jared Goff,DET,9,28,QB,QB16,52
54,DeVonta Smith,PHI,10,24,WR,WR19,52.3
55,D'Andre Swift,PHI,10,24,RB,RB17,52.4
56,Dameon Pierce,HOU,7,23,RB,RB18,53.1
57,Javonte Williams,DEN,9,23,RB,RB19,54.1
58,Anthony Richardson,IND,11,22,QB,QB17,55.1
59,Miles Sanders,CAR,7,26,RB,RB20,58
60,Breece Hall,NYJ,7,22,RB,RB21,58.5
61,Chris Godwin,TB,5,27,WR,WR20,59
62,DJ Moore,CHI,13,26,WR,WR21,60.1
63,George Kittle,SF,9,29,TE,TE4,61.1
64,James Conner,ARI,14,28,RB,RB22,61.5
65,Alexander Mattison,MIN,13,25,RB,RB23,62.4
66,Derek Carr,NO,11,32,QB,QB18,62.9
67,J.K. Dobbins,BAL,13,24,RB,RB24,65.2
68,Geno Smith,SEA,5,32,QB,QB19,66
69,DeAndre Hopkins,TEN,7,31,WR,WR22,67.7
70,Cam Akers,LAR,10,24,RB,RB25,68.1
71,Kyle Pitts,ATL,11,22,TE,TE5,68.9
72,Michael Pittman Jr.,IND,11,25,WR,WR23,69.4
73,Kyler Murray,ARI,14,26,QB,QB20,70.1
74,Alvin Kamara,NO,11,28,RB,RB26,70.8
75,Darren Waller,NYG,13,30,TE,TE6,71.9
76,Diontae Johnson,PIT,6,27,WR,WR24,72.6
77,Dalvin Cook,NYJ,7,28,RB,RB27,73.3
78,Mike Evans,TB,5,30,WR,WR25,74.1
79,Mike Williams,LAC,5,28,WR,WR26,76.6
80,Terry McLaurin,WAS,14,27,WR,WR27,76.7
81,David Montgomery,DET,9,26,RB,RB28,76.8
82,Rachaad White,TB,5,24,RB,RB29,77
83,Matthew Stafford,LAR,10,35,QB,QB21,79.4
84,Dallas Goedert,PHI,10,28,TE,TE7,80.6
85,Isiah Pacheco,KC,10,24,RB,RB30,82.6
86,Tyler Lockett,SEA,5,30,WR,WR28,83.8
87,James Cook,BUF,13,23,RB,RB31,84.4
88,Jerry Jeudy,DEN,9,24,WR,WR29,85.3
89,Christian Kirk,JAX,9,26,WR,WR30,86.6
90,Drake London,ATL,11,22,WR,WR31,86.7
91,Brandon Aiyuk,SF,9,25,WR,WR32,89.4
92,AJ Dillon,GB,6,25,RB,RB32,91.1
93,Pat Freiermuth,PIT,6,24,TE,TE8,91.9
94,Marquise Brown,ARI,14,26,WR,WR33,92
95,Antonio Gibson,WAS,14,25,RB,RB33,93.6
96,Christian Watson,GB,6,24,WR,WR34,95.4
97,Brandin Cooks,DAL,7,29,WR,WR35,95.7
98,Rashaad Penny,PHI,10,27,RB,RB34,97.6
99,Brian Robinson Jr.,WAS,14,24,RB,RB35,98.4
100,Kenny Pickett,PIT,6,25,QB,QB22,98.6
101,Jamaal Williams,NO,11,28,RB,RB36,98.7
102,Courtland Sutton,DEN,9,27,WR,WR36,98.9
103,Ezekiel Elliott,NE,11,28,RB,RB37,99.8
104,David Njoku,CLE,5,27,TE,TE9,102.4
105,George Pickens,PIT,6,22,WR,WR37,102.5
106,Khalil Herbert,CHI,13,25,RB,RB38,103.2
107,Jaxon Smith-Njigba,SEA,5,21,WR,WR38,104.1
108,Brock Purdy,SF,9,23,QB,QB23,105.6
109,Tyler Allgeier,ATL,11,23,RB,RB39,106
110,Evan Engram,JAX,9,29,TE,TE10,106.3
111,Treylon Burks,TEN,7,23,WR,WR39,106.5
112,Rashod Bateman,BAL,13,23,WR,WR40,107.6
113,Jordan Addison,MIN,13,21,WR,WR41,108
114,Gabe Davis,BUF,13,24,WR,WR42,108.7
115,Jimmy Garoppolo,LV,13,31,QB,QB24,111.6
116,JuJu Smith-Schuster,NE,11,26,WR,WR43,113.1
117,Jahan Dotson,WAS,14,23,WR,WR44,113.2
118,Jordan Love,GB,6,24,QB,QB25,113.4
119,Raheem Mostert,MIA,10,31,RB,RB40,113.9
120,Damien Harris,BUF,13,26,RB,RB41,114.8
121,Dalton Schultz,HOU,7,27,TE,TE11,117.5
122,Darnell Mooney,CHI,13,25,WR,WR45,117.7
123,Elijah Mitchell,SF,9,25,RB,RB42,119.5
124,San Francisco 49ers,SF,9,null,DST,DST1,124
125,Michael Thomas,NO,11,30,WR,WR46,124.1
126,Sam Howell,WAS,14,22,QB,QB26,124.3
127,Bryce Young,CAR,7,22,QB,QB27,125.3
128,Jerick McKinnon,KC,10,31,RB,RB43,126
129,Kadarius Toney,KC,10,24,WR,WR47,127
130,Elijah Moore,CLE,5,23,WR,WR48,127.7
131,Kenneth Gainwell,PHI,10,24,RB,RB44,128.1
132,Dawson Knox,BUF,13,26,TE,TE12,129
133,Skyy Moore,KC,10,22,WR,WR49,129.3
134,Mac Jones,NE,11,25,QB,QB28,129.8
135,Jakobi Meyers,LV,13,26,WR,WR50,129.9
136,Desmond Ridder,ATL,11,24,QB,QB29,130.5
137,Justin Tucker,BAL,13,33,K,K1,131.1
138,Ryan Tannehill,TEN,7,35,QB,QB30,131.4
139,Devin Singletary,HOU,7,26,RB,RB45,131.5
140,Buffalo Bills,BUF,13,null,DST,DST2,131.7
141,Samaje Perine,DEN,9,27,RB,RB46,133.4
142,Zach Charbonnet,SEA,5,22,RB,RB47,133.8
143,Cole Kmet,CHI,13,24,TE,TE13,134
144,Allen Lazard,NYJ,7,27,WR,WR51,135.1
145,Dallas Cowboys,DAL,7,null,DST,DST3,136.2
146,Cordarrelle Patterson,ATL,11,32,RB,RB48,136.4
147,Nico Collins,HOU,7,24,WR,WR52,136.6
148,Luke Musgrave,GB,6,23,TE,TE14,137.2
149,Baker Mayfield,TB,5,28,QB,QB31,137.5
150,Philadelphia Eagles,PHI,10,null,DST,DST4,138.8
151,New Orleans Saints,NO,11,null,DST,DST5,139.1
152,Adam Thielen,CAR,7,33,WR,WR53,140.3
153,Tyler Bass,BUF,13,26,K,K2,141
154,Zay Flowers,BAL,13,22,WR,WR54,141.5
155,Evan McPherson,CIN,7,24,K,K3,142.6
156,Harrison Butker,KC,10,28,K,K4,143.2
157,Los Angeles Rams,LAR,10,null,DST,DST6,143.8
158,Romeo Doubs,GB,6,23,WR,WR55,144
159,Jaylen Warren,PIT,6,24,RB,RB49,145.9
160,Tampa Bay Buccaneers,TB,5,null,DST,DST7,146.7
160,Dalton Kincaid,BUF,13,23,TE,TE15,146.7
162,Tyler Higbee,LAR,10,30,TE,TE16,147
163,Daniel Carlson,LV,13,28,K,K5,147.1
164,Baltimore Ravens,BAL,13,null,DST,DST8,147.8
165,New England Patriots,NE,11,null,DST,DST9,148.4
166,Zamir White,LV,13,23,RB,RB50,148.9
167,Jake Elliott,PHI,10,28,K,K6,149.4
168,D'Onta Foreman,CHI,13,27,RB,RB51,149.5
169,Younghoe Koo,ATL,11,29,K,K7,150.6
170,Brandon McManus,JAX,9,32,K,K8,151.4
171,Sam LaPorta,DET,9,22,TE,TE17,152
172,Odell Beckham Jr.,BAL,13,30,WR,WR56,152.1
173,De'Von Achane,MIA,10,21,RB,RB52,152.3
174,Washington Commanders,WAS,14,null,DST,DST10,153.2
174,Tank Bigsby,JAX,9,22,RB,RB53,153.2
174,Roschon Johnson,CHI,13,22,RB,RB54,153.2
177,Tyler Boyd,CIN,7,28,WR,WR57,153.3
178,Quentin Johnston,LAC,5,22,WR,WR58,153.6
179,Nick Folk,TEN,7,38,K,K9,153.8
180,Jason Sanders,MIA,10,27,K,K10,154.5
181,Cleveland Browns,CLE,5,null,DST,DST11,154.7
182,Los Angeles Chargers,LAC,5,null,DST,DST12,155.7
183,Pittsburgh Steelers,PIT,6,null,DST,DST13,156.2
184,Green Bay Packers,GB,6,null,DST,DST14,157.1
185,Zay Jones,JAX,9,28,WR,WR59,157.2
186,Jameson Williams,DET,9,22,WR,WR60,158.1
187,New York Jets,NYJ,7,null,DST,DST15,158.2
188,Deuce Vaughn,DAL,7,21,RB,RB55,158.9
189,Denver Broncos,DEN,9,null,DST,DST16,159.1
190,Cincinnati Bengals,CIN,7,null,DST,DST17,161.1
191,Kansas City Chiefs,KC,10,null,DST,DST18,161.5
192,Graham Gano,NYG,13,36,K,K11,161.6
193,Miami Dolphins,MIA,10,null,DST,DST19,161.7
194,Indianapolis Colts,IND,11,null,DST,DST20,161.8
195,Greg Zuerlein,NYJ,7,35,K,K12,163.4
196,Jason Myers,SEA,5,32,K,K13,166.4
197,Jake Ferguson,DAL,7,24,TE,TE18,168.6
